word,frequency_rank,wcount,log_w,w_cd
只有,486,6916,3.8399,3675
怎么办,487,6871,3.837,3445
第,488,6842,3.8352,3660
马,489,6796,3.8323,2729
讲,490,6785,3.8315,3074
绝对,491,6782,3.8314,3252
长官,492,6780,3.8312,1353
员,493,6763,3.8301,2180
进去,494,6757,3.8298,3305
至少,495,6750,3.8293,3630
律师,496,6747,3.8291,1825
喔,497,6700,3.8261,1527
整个,498,6696,3.8258,3409
听到,499,6695,3.8258,3391
表演,500,6658,3.8233,1590
正在,501,6653,3.823,3382
无,502,6648,3.8227,3277
已,503,6636,3.8219,2968
笑,504,6628,3.8214,2831
选,505,6619,3.8208,2424
感到,506,6612,3.8203,3147
那边,507,6572,3.8177,3177
远,508,6570,3.8176,3459
儿,509,6569,3.8175,2551
故事,510,6551,3.8163,2656
疯,511,6550,3.8162,3180
换,512,6541,3.8156,3315
结婚,513,6535,3.8152,2278
猜,514,6521,3.8143,3308
咱们,515,6519,3.8142,1551
床,516,6505,3.8132,2771
处理,517,6498,3.8128,3179
妻子,518,6494,3.8125,2401
进行,519,6485,3.8119,3024
内,520,6436,3.8086,2999
是否,521,6434,3.8085,2955
段,522,6430,3.8082,3234
令,523,6425,3.8079,2819
刚刚,524,6422,3.8077,3251
案子,525,6413,3.8071,1576
行动,526,6405,3.8065,2468
第二,527,6379,3.8048,3336
努力,528,6360,3.8035,3031
害怕,529,6346,3.8025,3009
酒,530,6338,3.802,2594
发,531,6323,3.8009,3166
调查,532,6319,3.8006,2193
失去,533,6314,3.8003,3133
歌,534,6309,3.8,1505
成功,535,6305,3.7997,2972
唱,536,6300,3.7993,1430
考虑,537,6295,3.799,3146
刚才,538,6280,3.798,3161
约会,539,6267,3.7971,2150
节目,540,6253,3.7961,1486
通过,541,6216,3.7935,2799
之间,542,6212,3.7932,3260
别的,543,6210,3.7931,3270
学,544,6209,3.793,3023
开心,545,6202,3.7925,2804
母亲,546,6195,3.792,2364
辆,547,6190,3.7917,2379
主意,548,6144,3.7885,3207
探,549,6140,3.7882,1491
丈夫,550,6115,3.7864,2216
待,551,6103,3.7855,2847
变成,552,6103,3.7855,3140
倒,553,6092,3.7848,3315
离,554,6088,3.7845,3343
解释,555,6088,3.7845,3100
往,556,6083,3.7841,2964
万,557,6031,3.7804,2019
联系,558,6021,3.7797,2777
派,559,6001,3.7782,2619
关,560,5998,3.778,3111
证明,561,5987,3.7772,2822
句,562,5984,3.777,3286
五,563,5903,3.7711,2674
生命,564,5898,3.7707,2804
有点,565,5897,3.7706,3207
靠,566,5890,3.7701,2802
解决,567,5888,3.77,2983
办公室,568,5882,3.7695,2515
难道,569,5875,3.769,3033
作为,570,5864,3.7682,3084
奇怪,571,5833,3.7659,3104
生,572,5816,3.7646,2889
由,573,5799,3.7634,2995
男,574,5775,3.7616,2626
极了,575,5771,3.7613,2559
同意,576,5759,3.7603,2916
如,577,5747,3.7594,3087
游戏,578,5732,3.7583,2210
帮忙,579,5725,3.7578,3086
指,580,5719,3.7573,3031
危险,581,5711,3.7567,2813
讨厌,582,5691,3.7552,2875
曾经,583,5689,3.755,3072
眼睛,584,5673,3.7538,2758
外面,585,5603,3.7484,2996
处,586,5577,3.7464,2934
国家,587,5576,3.7463,2041
看上去,588,5566,3.7455,2382
总统,589,5549,3.7442,934
间,590,5547,3.7441,2849
伤害,591,5536,3.7432,2712
控制,592,5535,3.7431,2656
最近,593,5532,3.7429,3096
声音,594,5523,3.7422,2631
糟,595,5513,3.7414,2951
快乐,596,5505,3.7408,2131
偷,597,5501,3.7404,2338
首,598,5501,3.7404,1826
可爱,599,5498,3.7402,2656
进入,600,5490,3.7396,2550
能够,601,5483,3.739,2454
事实上,602,5461,3.7373,2825
哈,603,5460,3.7372,2178
醒,604,5457,3.737,2150
分,605,5455,3.7368,2563
完成,606,5450,3.7364,2601
部,607,5436,3.7353,2395
昨晚,608,5434,3.7351,2488
同,609,5401,3.7325,2850
医院,610,5391,3.7317,1994
不行,611,5389,3.7315,2714
半,612,5389,3.7315,2917
而已,613,5389,3.7315,2823
上面,614,5363,3.7294,2941
样子,615,5337,3.7273,3007
少,616,5325,3.7263,3116
有趣,617,5296,3.7239,2709
提,618,5283,3.7229,2832
没关系,619,5276,3.7223,2887
斯,620,5262,3.7212,1406
杰克,621,5239,3.7192,439
真的,622,5235,3.7189,2913
部分,623,5232,3.7187,2783
要求,624,5217,3.7174,2731
糟糕,625,5213,3.7171,2805
除了,626,5147,3.7116,3210
容易,627,5146,3.7115,3062
保持,628,5144,3.7113,2808
虽然,629,5141,3.711,2915
办,630,5139,3.7109,2818
教,631,5127,3.7099,2420
想到,632,5127,3.7099,3101
理解,633,5125,3.7097,2818
证据,634,5118,3.7091,1865
加,635,5110,3.7084,2674
脸,636,5093,3.707,2608
简单,637,5089,3.7066,2980
不同,638,5087,3.7065,2808
夫人,639,5082,3.706,1691
父母,640,5081,3.7059,2204
重,641,5079,3.7058,2860
恩,642,5073,3.7053,1435
曾,643,5051,3.7034,2610
事实,644,5029,3.7015,2683
飞机,645,5020,3.7007,1616
家庭,646,5017,3.7004,2435
象,647,5011,3.6999,1352
装,648,5006,3.6995,2820
秘密,649,5001,3.6991,2368
法,650,4997,3.6987,2531
尸体,651,4994,3.6984,1696
打开,652,4989,3.698,2503
季,653,4967,3.6961,3420
检查,654,4967,3.6961,2347
早上,655,4953,3.6949,2785
玩笑,656,4933,3.6931,2848
任务,657,4929,3.6928,1850
现场,658,4917,3.6917,1909
使,659,4915,3.6915,2531
转,660,4884,3.6888,2519
博士,661,4881,3.6885,889
直到,662,4866,3.6872,2940
紧张,663,4855,3.6862,2443
二,664,4849,3.6857,2359
简直,665,4843,3.6851,2560
放弃,666,4823,3.6833,2525
小子,667,4818,3.6829,1918
电视,668,4816,3.6827,2128
强,669,4814,3.6825,2046
不好意思,670,4805,3.6817,2330
大概,671,4804,3.6816,2625
的确,672,4803,3.6815,2368
特,673,4792,3.6805,1626
药,674,4788,3.6802,1926
回到,675,4787,3.6801,2601
男孩,676,4779,3.6793,2058
音乐,677,4776,3.6791,1721
身体,678,4764,3.678,2403
血,679,4749,3.6766,1944
留下,680,4720,3.6739,2787
方式,681,4711,3.6731,2707
伤,682,4709,3.6729,2608
怪,683,4705,3.6726,2378
美元,684,4701,3.6722,1774
监狱,685,4671,3.6694,1775
读,686,4661,3.6685,2269
